identificador,aviso,fecha_envio,entidad,valor
CO1.PCCNTR.9933537,relacionado,2026-09-12 19:44:29,SANTIAGO DE CALI DISTRITO ESPECIAL- UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE BIENES Y SERVICIOS - CALI,700000000.0
CO1.PCCNTR.9884818,relacionado,2026-09-12 19:44:29,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRE,4050000000.0
CO1.PCCNTR.9886868,relacionado,2026-09-12 19:44:29,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRE,4050000000.0
CO1.PCCNTR.9820439,relacionado,2026-09-12 19:44:29,SANTIAGO DE CALI DISTRITO ESPECIAL - UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS,3759980000.0
CO1.PCCNTR.9864677,relacionado,2026-09-12 19:44:29,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRE,7894000.0
CO1.PCCNTR.9901122,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9839330,relacionado,2026-09-12 19:44:29,MUNICIPIO DE SEVILLA,300247974.0
CO1.PCCNTR.9840672,relacionado,2026-09-12 19:44:29,MUNICIPIO DE TORO,2260000.0
CO1.PCCNTR.9900783,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9905566,relacionado,2026-09-12 19:44:29,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ,1400000000.0
CO1.PCCNTR.9825825,relacionado,2026-09-12 19:44:29,MUNICIPIO DE TORO,10000000.0
CO1.PCCNTR.9820473,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,62960000.0
CO1.PCCNTR.9836678,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,15000000.0
CO1.PCCNTR.9901336,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9839003,relacionado,2026-09-12 19:44:29,Institución Universitaria de Roldanillo,4284974783.0
CO1.PCCNTR.9867817,relacionado,2026-09-12 19:44:29,ALCALDIA DE ALCALA,200000000.0
CO1.PCCNTR.9836803,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,13968300.0
CO1.PCCNTR.9883233,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,10000000.0
CO1.PCCNTR.9883808,relacionado,2026-09-12 19:44:29,"Secretaría de Gobierno, Convivencia y Seguridad - Alcaldía de Tuluá",79861050.0
CO1.PCCNTR.9924092,relacionado,2026-09-12 19:44:29,CONCEJO MUNICIPAL DE GUADALAJARA DE BUGA,3600000.0
CO1.PCCNTR.9817993,relacionado,2026-09-12 19:44:29,ALCALDIA DE ALCALA,150000000.0
CO1.PCCNTR.9818224,relacionado,2026-09-12 19:44:29,ALCALDIA DE ALCALA,20000000.0
CO1.PCCNTR.9924300,relacionado,2026-09-12 19:44:29,REGION DE PLANEACION Y GESTION DEL CENTRO DEL VALLE- RPG CENVALLE,25000000.0
CO1.PCCNTR.9903622,relacionado,2026-09-12 19:44:29,ALCALDIA LA CUMBRE,35000000.0
CO1.PCCNTR.9820821,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,8700000.0
CO1.PCCNTR.9831120,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,7800000.0
CO1.PCCNTR.9922400,relacionado,2026-09-12 19:44:29,UNIAJC,241278400.0
CO1.PCCNTR.9870238,relacionado,2026-09-12 19:44:29,UNIAJC,6976838150.32
CO1.PCCNTR.9925302,relacionado,2026-09-12 19:44:29,INSTITUTO MUNICIPAL DE EDUCACION PARA EL TRABAJO Y DESARROLLO HUMANO DE YUMBO -IMETY-,26816000.0
CO1.PCCNTR.9895831,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CARTAGO,200000000.0
CO1.PCCNTR.9836638,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPAL DE ROLDANILLO,200000000.0
CO1.PCCNTR.9827656,relacionado,2026-09-12 19:44:29,MUNICIPIO DE TORO,30000000.0
CO1.PCCNTR.9865348,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,15000000.0
CO1.PCCNTR.9825810,relacionado,2026-09-12 19:44:29,MUNICIPIO DE TORO,30000000.0
CO1.PCCNTR.9862021,relacionado,2026-09-12 19:44:29,Departamento Administrativo de Planeación - Alcaldía de Tuluá,20000000.0
CO1.PCCNTR.9859114,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CARTAGO,42995409.89
CO1.PCCNTR.9862309,relacionado,2026-09-12 19:44:29,Departamento Administrativo de Planeación - Alcaldía de Tuluá,20000000.0
CO1.PCCNTR.9901323,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9826088,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,11200000.0
CO1.PCCNTR.9877158,relacionado,2026-09-12 19:44:29,ALCALDIA DE CAICEDONIA,20000000.0
CO1.PCCNTR.9875800,relacionado,2026-09-12 19:44:29,Rama Judicial  Dirección Seccional de Administración Judicial de Cali,157999000.0
CO1.PCCNTR.9820462,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,214826488.0
CO1.PCCNTR.9924148,relacionado,2026-09-12 19:44:29,CONCEJO MUNICIPAL DE GUADALAJARA DE BUGA,3800000.0
CO1.PCCNTR.9861936,relacionado,2026-09-12 19:44:29,Departamento Administrativo de Planeación - Alcaldía de Tuluá,20000000.0
CO1.PCCNTR.9905686,relacionado,2026-09-12 19:44:29,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ,40000000.0
CO1.PCCNTR.9894832,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE YOTOCO,70000000.0
CO1.PCCNTR.9851648,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,3300000.0
CO1.PCCNTR.9900698,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9901961,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,52355736.38
CO1.PCCNTR.9931017,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPAL DE ROLDANILLO,12500000.0
CO1.PCCNTR.9852357,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,10000000.0
CO1.PCCNTR.9838323,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,4886000.0
CO1.PCCNTR.9820578,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,49630000.0
CO1.PCCNTR.9826742,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CALIMA EL DARIEN VALLE,287763720.3
CO1.PCCNTR.9900882,relacionado,2026-09-12 19:44:29,Institución Universitaria de Roldanillo,257699201.0
CO1.PCCNTR.9826499,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CALIMA EL DARIEN VALLE,39048300.6
CO1.PCCNTR.9836853,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,25904313.0
CO1.PCCNTR.9863794,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CARTAGO,39984000.0
CO1.PCCNTR.9905322,relacionado,2026-09-12 19:44:29,ALCALDIA DE ALCALA,20000000.0
CO1.PCCNTR.9909740,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE YOTOCO,200000000.0
CO1.PCCNTR.9925711,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9820479,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE ANDALUCIA VALLE DEL CAUCA,65000000.0
CO1.PCCNTR.9901312,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9834539,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,25000000.0
CO1.PCCNTR.9900919,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9901345,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9851759,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,40000000.0
CO1.PCCNTR.9826534,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CALIMA EL DARIEN VALLE,32205602.88
CO1.PCCNTR.9900788,relacionado,2026-09-12 19:44:29,MUNICIPIO DE ZARZAL,4500000.0
CO1.PCCNTR.9845387,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,8000000.0
CO1.PCCNTR.9925410,relacionado,2026-09-12 19:44:29,Secretaría de Educación - Alcaldía de Tuluá,7940000.0
CO1.PCCNTR.9820572,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,346749750.0
CO1.PCCNTR.9820495,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,8700000.0
CO1.PCCNTR.9817885,relacionado,2026-09-12 19:44:29,ALCALDIA DE ALCALA,100000000.0
CO1.PCCNTR.9839354,relacionado,2026-09-12 19:44:29,MUNICIPIO DE SEVILLA,59740000.0
CO1.PCCNTR.9830158,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,10200000.0
CO1.PCCNTR.9826578,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CALIMA EL DARIEN VALLE,1079151183.36
CO1.PCCNTR.9865539,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPAL DE ROLDANILLO,50000000.0
CO1.PCCNTR.9869750,relacionado,2026-09-12 19:44:29,ALCALDIA LA CUMBRE,20000000.0
CO1.PCCNTR.9914301,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE SAN PEDRO VALLE DEL CAUCA,35000000.0
CO1.PCCNTR.9820902,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,25000000.0
CO1.PCCNTR.9851638,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE LA VICTORIA VALLE,3300000.0
CO1.PCCNTR.9901294,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BUGALAGRANDE,150998538.0
CO1.PCCNTR.9820580,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE ANDALUCIA VALLE DEL CAUCA,286159346.0
CO1.PCCNTR.9820480,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL DE ANDALUCIA VALLE DEL CAUCA,39990000.0
CO1.PCCNTR.9839409,relacionado,2026-09-12 19:44:29,MUNICIPIO DE SEVILLA,43694350.0
CO1.PCCNTR.9847554,relacionado,2026-09-12 19:44:29,INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE YUMBO,36515185.71
CO1.PCCNTR.9873168,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPIO DE PALMIRA,108300000.0
CO1.PCCNTR.9826915,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CALIMA EL DARIEN VALLE,597455638.86
CO1.PCCNTR.9861986,relacionado,2026-09-12 19:44:29,Departamento Administrativo de Planeación - Alcaldía de Tuluá,20000000.0
CO1.PCCNTR.9892667,relacionado,2026-09-12 19:44:29,PERSONERIA MUNICIPAL DE VERSALLES VALLE,15000000.0
CO1.PCCNTR.9839334,relacionado,2026-09-12 19:44:29,MUNICIPIO DE SEVILLA,400000000.0
CO1.PCCNTR.9826836,relacionado,2026-09-12 19:44:29,MUNICIPIO DE CALIMA EL DARIEN VALLE,698878070.88
CO1.PCCNTR.9858747,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,1000000000.0
CO1.PCCNTR.9920212,relacionado,2026-09-12 19:44:29,SERVICIO GEOLOGICO COLOMBIANO**,60685350.0
CO1.PCCNTR.9887679,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL CARAMANTA,100000000.0
CO1.PCCNTR.9905608,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9892312,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BELALCAZAR,4400000.0
CO1.PCCNTR.9839735,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9836077,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9818239,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,4600000.0
CO1.PCCNTR.9871109,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,6000000.0
CO1.PCCNTR.9899898,relacionado,2026-09-12 19:44:29,ALCALDÍA DEL MUNICIPIO DE SANTUARIO RISARALDA,10800000.0
CO1.PCCNTR.9838740,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,8730000.0
CO1.PCCNTR.9837419,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9853704,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE BETANIA,50000000.0
CO1.PCCNTR.9888281,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,6600000.0
CO1.PCCNTR.9846057,relacionado,2026-09-12 19:44:29,ASOCIACION COLOMBIANA DE CIUDADES INTERMEDIAS,150000000.0
CO1.PCCNTR.9818408,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,800000000.0
CO1.PCCNTR.9868857,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,6000000.0
CO1.PCCNTR.9874680,relacionado,2026-09-12 19:44:29,MUNICIPIO DE SANTA ROSA DE CABAL,25000000.0
CO1.PCCNTR.9920118,relacionado,2026-09-12 19:44:29,MUNICIPIO DE BARBOSA,39999470.0
CO1.PCCNTR.9823982,relacionado,2026-09-12 19:44:29,Alcaldía De Villamaria,20000000.0
CO1.PCCNTR.9867845,relacionado,2026-09-12 19:44:29,Alcaldía De Villamaria,4000000.0
CO1.PCCNTR.9924077,relacionado,2026-09-12 19:44:29,ALCALDIA DE ISTMINA,150000000.0
CO1.PCCNTR.9912517,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9907577,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE BETANIA,20000000.0
CO1.PCCNTR.9912116,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9932342,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPIO DE CÓRDOBA - QUINDIO,50000000.0
CO1.PCCNTR.9837831,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9915421,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,0.0
CO1.PCCNTR.9825549,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPIO DE RIOSUCIO CALDAS,50000000.0
CO1.PCCNTR.9843934,relacionado,2026-09-12 19:44:29,MUNICIPIO DE RISARALDA,40000000.0
CO1.PCCNTR.9925916,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,8400000.0
CO1.PCCNTR.9792776,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PALESTINA CALDAS,6500000.0
CO1.PCCNTR.9817796,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,4600000.0
CO1.PCCNTR.9843135,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO TERRITORIAL URBANO Y RURAL DE RISARALDA - EDUR,0.0
CO1.PCCNTR.9905905,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,13800000.0
CO1.PCCNTR.9848850,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,9800000.0
CO1.PCCNTR.9839715,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9862986,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,8730000.0
CO1.PCCNTR.9925075,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9893782,relacionado,2026-09-12 19:44:29,ALCALDÍA MUNICIPIO DE BALBOA RISARALDA,340218000.0
CO1.PCCNTR.9894423,relacionado,2026-09-12 19:44:29,ALCALDIA MUNICIPAL LA VIRGINIA RISARALDA,150000000.0
CO1.PCCNTR.9904987,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,11400000.0
CO1.PCCNTR.9835676,relacionado,2026-09-12 19:44:29,MUNICIPIO DE VITERBO,10000000.0
CO1.PCCNTR.9832765,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,10000000.0
CO1.PCCNTR.9818195,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,4600000.0
CO1.PCCNTR.9893154,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,6600000.0
CO1.PCCNTR.9826845,relacionado,2026-09-12 19:44:29,EMPRESA DE DESARROLLO URBANO DE PEREIRA - EDUP,9800000.0
CO1.PCCNTR.9904983,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,70000000.0
CO1.PCCNTR.9838785,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9818323,relacionado,2026-09-12 19:44:29,Municipio de Montenegro--,4600000.0
CO1.PCCNTR.9924748,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,15000000.0
CO1.PCCNTR.9839124,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
CO1.PCCNTR.9924117,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PIENDAMO,5400000.0
CO1.PCCNTR.9926634,relacionado,2026-09-12 19:44:29,MUNICIPIO DE PEREIRA- OFICIAL,7200000.0
CO1.PCCNTR.9888936,relacionado,2026-09-12 19:44:29,MUNICIPIO DE MANIZALES,70000000.0
CO1.PCCNTR.9840797,relacionado,2026-09-12 19:44:29,MUNICIPIO DE RISARALDA,23432000.0
CO1.PCCNTR.9828971,relacionado,2026-09-12 19:44:29,MUNICIPIO DE VITERBO,5000000.0
CO1.PCCNTR.9836910,relacionado,2026-09-12 19:44:29,GOBERNACIÓN DE RISARALDA**,6198000.0
